file_name,duration,unit
plan_691,"193.98","us"
plan_699,"190.11","us"
plan_711,"212.06","us"
plan_706,"205.92","us"
plan_705,"206.78","us"
plan_712,"208.22","us"
plan_714,"213.57","us"
plan_720,"182.24","us"
plan_698,"188.48","us"
plan_70,"194.94","us"
plan_692,"198.37","us"
plan_704,"189.02","us"
plan_700,"192.51","us"
plan_715,"214.21","us"
plan_7,"215.07","us"
plan_72,"178.85","us"
plan_708,"194.02","us"
plan_713,"357.82","us"
plan_707,"191.78","us"
plan_723,"178.82","us"
plan_709,"196.61","us"
plan_724,"178.46","us"
plan_717,"224.03","us"
plan_701,"195.23","us"
plan_729,"189.86","us"
plan_73,"188.48","us"
plan_716,"357.41","us"
plan_721,"176.99","us"
plan_738,"205.41","us"
plan_732,"185.41","us"
plan_722,"183.26","us"
plan_71,"201.06","us"
plan_718,"224.22","us"
plan_730,"180.42","us"
plan_710,"195.68","us"
plan_726,"187.58","us"
plan_733,"182.88","us"
plan_747,"236.54","us"
plan_741,"202.05","us"
plan_725,"190.34","us"
plan_731,"187.04","us"
plan_727,"191.23","us"
plan_719,"356.03","us"
plan_742,"201.15","us"
plan_739,"201.31","us"
plan_735,"193.95","us"
plan_740,"208.45","us"
plan_74,"184.61","us"
plan_748,"233.44","us"
plan_756,"233.15","us"
plan_75,"198.24","us"
plan_750,"235.78","us"
plan_734,"192.93","us"
plan_728,"190.88","us"
plan_736,"192.45","us"
plan_744,"211.71","us"
plan_751,"236.54","us"
plan_757,"229.50","us"
plan_759,"227.07","us"
plan_765,"205.15","us"
plan_743,"210.21","us"
plan_76,"198.21","us"
plan_737,"198.91","us"
plan_760,"230.43","us"
plan_749,"239.42","us"
plan_766,"224.29","us"
plan_745,"211.23","us"
plan_758,"231.14","us"
plan_768,"226.69","us"
plan_769,"224.93","us"
plan_774,"211.97","us"
plan_746,"220.38","us"
plan_752,"240.13","us"
plan_783,"226.94","us"
plan_762,"232.51","us"
plan_753,"241.22","us"
plan_778,"201.31","us"
plan_763,"235.20","us"
plan_754,"246.82","us"
plan_784,"226.05","us"
plan_775,"201.98","us"
plan_755,"245.92","us"
plan_786,"226.34","us"
plan_767,"208.99","us"
plan_777,"202.43","us"
plan_776,"204.83","us"
plan_761,"234.18","us"
plan_78,"187.07","us"
plan_770,"210.82","us"
plan_771,"210.88","us"
plan_772,"214.21","us"
plan_77,"187.07","us"
plan_787,"223.42","us"
plan_780,"209.12","us"
plan_792,"236.10","us"
plan_793,"234.18","us"
plan_764,"234.50","us"
plan_795,"233.18","us"
plan_789,"231.65","us"
plan_801,"233.82","us"
plan_796,"234.85","us"
plan_779,"209.54","us"
plan_785,"227.17","us"
plan_788,"230.14","us"
plan_773,"215.90","us"
plan_781,"212.45","us"
plan_79,"189.82","us"
plan_790,"229.25","us"
plan_782,"216.86","us"
plan_794,"240","us"
plan_804,"230.02","us"
plan_810,"229.82","us"
plan_802,"227.65","us"
plan_798,"236.86","us"
plan_791,"233.41","us"
plan_811,"229.60","us"
plan_797,"239.71","us"
plan_81,"202.34","us"
plan_805,"229.34","us"
plan_803,"236.19","us"
plan_799,"239.84","us"
plan_813,"227.62","us"
plan_814,"230.43","us"
plan_82,"223.62","us"
plan_819,"236.03","us"
plan_807,"238.50","us"
plan_8,"222.37","us"
plan_828,"236.10","us"
plan_812,"232.54","us"
plan_80,"193.63","us"
plan_823,"235.90","us"
plan_806,"239.81","us"
plan_800,"242.43","us"
plan_820,"236.35","us"
plan_808,"243.07","us"
plan_816,"232.86","us"
plan_822,"232.77","us"
plan_829,"232.99","us"
plan_837,"210.62","us"
plan_821,"242.50","us"
plan_831,"233.92","us"
plan_815,"234.08","us"
plan_825,"239.74","us"
plan_838,"208.06","us"
plan_832,"234.08","us"
plan_809,"245.82","us"
plan_846,"183.33","us"
plan_824,"243.10","us"
plan_84,"226.11","us"
plan_817,"231.71","us"
plan_840,"210.11","us"
plan_83,"203.68","us"
plan_826,"240.38","us"
plan_818,"239.97","us"
plan_830,"237.89","us"
plan_841,"209.92","us"
plan_847,"188.61","us"
plan_849,"198.91","us"
plan_839,"215.17","us"
plan_827,"242.75","us"
plan_855,"179.52","us"
plan_834,"246.30","us"
plan_85,"226.40","us"
plan_856,"183.97","us"
plan_833,"243.55","us"
plan_848,"187.81","us"
